"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","0","0","154","7","0.000000","0","0"
"/InterchangeAssets/gltf/M_Default.M_Default","0","0","602","32","0.000000","0","4764"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","0","224","14","0.000000","0","202"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","0","0","76","4","0.000000","0","0"
"/Game/FogArea/Materials/M_FogArea.M_FogArea","0","0","224","8","0.000000","0","0"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","0","120","6","0.000000","0","0"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","0","0","64","2","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","0","32","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","0","32","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","50","6","0.000000","0","5"
"/Engine/EditorLandscapeResources/LandscapeLayerUsageMaterial.LandscapeLayerUsageMaterial","0","0","2","1","0.000000","0","0"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","0","0","100","6","0.000000","0","0"
"/Game/Vefects/Free_Fire/Shared/Materials/M_VFX_Erosion.M_VFX_Erosion","0","0","26","2","0.000000","0","30"
"/Game/Props/Banio/lavamanos/ceramicaceleste.ceramicaceleste","0","0","3","1","0.000000","0","0"
"/Game/Props/general/espejomaquillaje/maquiillajeespejo.maquiillajeespejo","0","0","3","1","0.000000","0","0"
"/Game/Props/livingRoom/muebleTV/m_mesa.m_mesa","0","0","3","1","0.000000","0","0"
"/Game/Props/comedor/cuadro2/Material.Material","0","0","3","1","0.000000","0","0"
"/Game/Props/Cocina/licuadora/Color.Color","0","0","3","1","0.000000","0","0"
"/Game/Props/Banio/jabones/Material__47.Material__47","0","0","3","1","0.000000","0","0"
"/Game/Props/Banio/jabones/Material__46.Material__46","0","0","3","1","0.000000","0","0"
"/Game/Props/Banio/jabones/Material__44.Material__44","0","0","3","1","0.000000","0","0"
"/Game/Props/livingRoom/cuadro/WoodBackground.WoodBackground","0","0","3","1","0.000000","0","0"
"/Game/Props/livingRoom/cuadro/WoodPaddle.WoodPaddle","0","0","3","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","42","2","0.000000","0","0"
"/Engine/EditorLandscapeResources/SelectBrushMaterial.SelectBrushMaterial","0","0","10","2","0.000000","0","0"
"/Game/Props/general/banquito/Material_001.Material_001","0","0","3","1","0.000000","0","0"
